Department,Year,Abstract_Title,Abstract_Description,Sponsors1,Sponsors2,Sponsors3,PI/PDs1,PI/PDs2,PI/PDs3
School of Accounting,2021,Charitable CEOs and Earnings Management,"CEOs of public companies may serve of boards of non-profit organizations out of intrinsic motivation, reflecting a preference for the well-being of others.  Alternatively, CEOs may serve on non-profit boards to increase moral reputation or manage their p",Oklahoma State University, Northeastern University,,Bryan G. Brockbank,,
School of Accounting,2021,Do Non-GAAP Exclusions Impact the Extent to Which Current Returns Reflect Future Earnings Information?,"Motivated by regulators’ concerns about non-GAAP financial measures and building on research that finds more informative disclosures allow current stock returns to better reflect future earnings, I examine whether non-GAAP earnings exclusions enhance o",Oklahoma State University,,,Bryan G. Brockbank,,
School of Accounting,2021,Cutting R&D to Meet Earnings Benchmarks: The Effect of Firm-Level Innovation,This study examines whether innovation affects the likelihood of firms cutting research and development (R&D) spending to meet earnings benchmarks. We find that more innovative firms are less likely to cut R&D in order to meet earnings benchmarks. Consis,Oklahoma State University,,,Bryan G. Brockbank, Kent Hu,
School of Accounting,2021,The Effect of Analyst Conservatism on Meeting the Consensus Via Earnings Management,"Conservative analysts react more to negative news than positive news. Consequently, firms followed by more conservative analysts should have a lower consensus earnings forecast. We find that firms followed by more conservative analysts engage in less ear",Oklahoma State University," University of Nebraska-Kearney
PI/PDs",,Matt Bjornsen,,
School of Accounting,2021,Audit Market Structure and Audit Quality: Evidence from Financial Analysts’ Information Environment,Audit market structure remains a concern for both regulators and academics due to the potential impact of competition (or lack thereof) on audit quality. We find that audit market concentration improves analysts’ forecast accuracy and decreases dispers,Oklahoma State University, University of Nevada, Reno,Bryan Brockbank, Bradley P. Lawson,
School of Accounting,2021,Bridging the Gap: Responding to a Reduction of Accounting Principles in the Business Core,We use the natural experiment provided by a curriculum change to analyze assessments of students’ financial accounting understanding. A new “bridge” course was created for accounting and finance majors in response to the reduction in principles of ,Oklahoma State University,,,Bryan G. Brockbank, Craig A. Sisneros, Angela Wheeler Spencer
School of Accounting,2021,Remediation of Knowledge Gaps for Underrepresented Minority Students: Insights from a Natural Experiment in Financial Accounting,A curriculum change from the traditional two semesters of accounting down to a one semester survey course leading to intermediate financial accounting provided a natural experimental setting to examine the efficacy of several methods of alleviating a sig,Oklahoma State University,,,Bryan G. Brockbank, Craig A. Sisneros, Angela Wheeler Spencer
School of Accounting,2021,Mindsets as an enhancement of 21st century accounting education,We propose complementing competency-based frameworks of accounting education with the cultivation of relevant mindsets. A mindset is a combination of cognitive filters and processes through which professionals interpret their professional environments an,Oklahoma State University, University of Dayton, University of Cincinnati,Audrey Gramling,,
School of Accounting,2021,The Relevance of non-income tax relief,"Governments regularly offer non-income tax relief to attract business interests. However, it is unclear whether markets impound information about the relief into security prices. We use novel data from retrospective public records to examine the informat",Oklahoma State University, Brigham Young University," Iowa University, University of Texas at Austin",Ryan Hess,,
School of Accounting,2021,"Government assistance: A growing, undisclosed financing source",We investigate whether firms treat government assistance as an additional source of external capital to provide standard setters evidence on a distinct impact of assistance on a firm’s financial statements. We find corporations in the highest decile of,Oklahoma State University, University of Texas at Austin,,Ryan Hess,,
School of Accounting,2021,Cash and Tax Evasion,"Economists and public policy experts contend that paper currency facilitates tax evasion. However, due to the illicit nature of tax evasion, limited empirical evidence exists to document or quantify this claim. I use the staggered implementation of the E",Oklahoma State University,,,Ryan Hess,,
School of Accounting,2021,The Feedback Loop of FDIC Insurance Premiums,There is a broad awareness about the potential for feedback effects in insurance premium pricing. Increasing (decreasing) deposit insurance premiums when a bank is performing poorly (well) has the potential to further constrain bank lending ability. We e,Oklahoma State University, Center for Financial Research Federal Deposit Insurance Corporation,,Ryan Hess,,
School of Accounting,2021,Does audit committee reporting need to be improved? Evidence from a large-scale textual analysis?,The SEC is considering expanding audit committee reporting requirements to include greater disclosure of the audit committee’s oversight of the external auditor. To provide insight into whether additional reporting requirements are needed we:  1) perfo,Oklahoma State University, Colorado State University, University of Texas,Bradley P. Lawson,,
School of Accounting,2021,The Consequences of Audit Market Structure on Financial Analysts’ Information Environment,"Audit market structure remains a concern for both regulators and academics due to the potential impact of competition (or lack of) on audit and financial reporting quality. However, studies of audit market structure and financial reporting quality provid",Oklahoma State University, Texas State University," University of Las Vegas, Nevada",Bradley P. Lawson,,
